Month dProd REA RPO dprod rea rpo
1973-02-01 11.877264 36.064235 -47.999534 NA NA NA
1973-03-01 1.4191496 41.527016 -48.286474 NA NA NA
1973-04-01 1.1777108 43.99125 -47.0825 NA NA NA
1973-05-01 27.455136 48.105889 -43.857651 NA NA NA
1973-06-01 -13.110436 52.033462 -41.571063 NA NA NA
1973-07-01 36.258073 52.942861 -40.98796 NA NA NA
1973-08-01 -14.084422 57.665996 -42.78173 NA NA NA
1973-09-01 20.83655 63.15587 -37.573865 NA NA NA
1973-10-01 -23.715772 74.403785 -38.454928 NA NA NA
1973-11-01 -59.708188 72.90661 -34.808854 NA NA NA
1973-12-01 9.1213 76.712093 -31.048386 NA NA NA
1974-01-01 26.176654 72.71761 12.969996 0.0218138780546848 105.35 -0.832925897514453
1974-02-01 10.102647 64.878445 38.00726 0.00841887270564534 88.41 -0.582553002074924
1974-03-01 9.2309791 68.65206 39.179805 0.00769248259891242 98 -0.57082775160986
1974-04-01 15.544122 63.149657 38.475565 0.0129534348539284 86.03 -0.577869994383903
1974-05-01 3.5457981 70.429073 39.772538 0.00295483172266486 103.79 -0.564900460820994
1974-06-01 -8.8525595 60.627158 39.25961 -0.00737713290705955 82.12 -0.57002954494538
1974-07-01 -23.292599 50.688233 36.246946 -0.0194104990458772 61.82 -0.600156465578871
1974-08-01 -31.902449 48.511725 34.486722 -0.0265853737723827 58.45 -0.617758420092672
1974-09-01 11.852437 48.834946 31.903647 0.00987703071880475 60.2 -0.643589263643224
1974-10-01 3.7577179 49.145886 30.395373 0.00313143154643036 61.36 -0.658672230239498
1974-11-01 1.6348628 47.492512 30.140623 0.00136238565681523 58.78 -0.661219489320051
1974-12-01 -10.765544 26.63957 31.654993 -0.00897128660221824 21.61 -0.646076013886394
1975-01-01 -48.806907 11.562386 30.496457 -0.0406724220986892 -0.95 -0.65766119175954
1975-02-01 -23.393275 4.9306377 32.093429 -0.0194943955217575 -9.89 -0.64169134019381
1975-03-01 -1.9156272 -8.6688632 33.461023 -0.00159635597589336 -26.7 -0.628015712579798
